year,yearly_avg_cpi,adjust_to_2020_dollars
1913,9.9,26.14141414
1914,10,25.88
1915,10.1,25.62376238
1916,10.9,23.74311927
1917,12.8,20.21875
1918,15,17.25333333
1919,17.3,14.95953757
1920,20,12.94
1921,17.9,14.45810056
1922,16.8,15.4047619
1923,17.1,15.13450292
1924,17.1,15.13450292
1925,17.5,14.78857143
1926,17.7,14.62146893
1927,17.4,14.87356322
1928,17.2,15.04651163
1929,17.2,15.04651163
1930,16.7,15.49700599
1931,15.2,17.02631579
1932,13.6,19.02941176
1933,12.9,20.0620155
1934,13.4,19.31343284
1935,13.7,18.89051095
1936,13.9,18.61870504
1937,14.4,17.97222222
1938,14.1,18.35460993
1939,13.9,18.61870504
1940,14,18.48571429
1941,14.7,17.60544218
1942,16.3,15.87730061
1943,17.3,14.95953757
1944,17.6,14.70454545
1945,18,14.37777778
1946,19.5,13.27179487
1947,22.3,11.60538117
1948,24,10.78333333
1949,23.8,10.87394958
1950,24.1,10.73858921
1951,26,9.953846154
1952,26.6,9.729323308
1953,26.8,9.656716418
1954,26.9,9.620817844
1955,26.8,9.656716418
1956,27.2,9.514705882
1957,28.1,9.209964413
1958,28.9,8.955017301
1959,29.2,8.863013699
1960,29.6,8.743243243
1961,29.9,8.655518395
1962,30.3,8.541254125
1963,30.6,8.45751634
1964,31,8.348387097
1965,31.5,8.215873016
1966,32.5,7.963076923
1967,33.4,7.748502994
1968,34.8,7.436781609
1969,36.7,7.051771117
1970,38.8,6.670103093
1971,40.5,6.390123457
1972,41.8,6.19138756
1973,44.4,5.828828829
1974,49.3,5.249492901
1975,53.8,4.810408922
1976,56.9,4.548330404
1977,60.6,4.270627063
1978,65.2,3.969325153
1979,72.6,3.564738292
1980,82.4,3.140776699
1981,90.9,2.847084708
1982,96.5,2.681865285
1983,99.6,2.598393574
1984,103.9,2.490856593
1985,107.6,2.405204461
1986,109.6,2.361313869
1987,113.6,2.278169014
1988,118.3,2.187658495
1989,124,2.087096774
1990,130.7,1.980107116
1991,136.2,1.900146843
1992,140.3,1.844618674
1993,144.5,1.79100346
1994,148.2,1.746288799
1995,152.4,1.69816273
1996,156.9,1.649458254
1997,160.5,1.612461059
1998,163,1.587730061
1999,166.6,1.553421369
2000,172.2,1.5029036
2001,177.1,1.461321287
2002,179.9,1.438576987
2003,184,1.406521739
2004,188.9,1.370037057
2005,195.3,1.325140809
2006,201.6,1.283730159
2007,207.3,1.248432224
2008,215.3,1.20204366
2009,214.5,1.206526807
2010,218.1,1.186611646
2011,224.9,1.150733659
2012,229.6,1.1271777
2013,233,1.110729614
2014,236.7,1.093367131
2015,237,1.091983122
2016,240,1.078333333
2017,245.1,1.055895553
2018,251.1,1.030665074
2019,255.7,1.012123582
2020,258.8,1
2021,271.4,0.95357406
